Application mode,Course,Daytime/evening attendance,Admission grade,Tuition fees up to date,Scholarship holder,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 2nd sem (credited),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
17,171,1,127.3,1,0,0,0,0,0,0,0,0.0,Dropout
15,9254,1,142.5,0,0,0,6,6,0,6,6,13.66666667,Graduate
1,9070,1,124.8,0,0,0,6,0,0,0,0,0.0,Dropout
17,9773,1,119.6,1,0,0,6,6,0,10,5,12.4,Graduate
39,8014,0,141.5,1,0,0,6,5,0,6,6,13.0,Graduate
39,9991,0,114.8,1,0,0,5,5,0,17,5,11.5,Graduate
1,9500,1,128.4,1,1,0,7,7,0,8,8,14.345,Graduate
18,9254,1,113.1,0,0,0,5,0,0,5,0,0.0,Dropout
1,9238,1,129.3,1,1,0,6,6,0,7,6,14.14285714,Graduate
1,9238,1,123.0,0,0,0,6,5,0,14,2,13.5,Dropout
1,9670,1,130.6,1,0,0,6,6,0,7,5,14.2,Graduate
1,9500,1,119.3,1,1,0,8,7,0,8,7,13.21428571,Graduate
1,9853,1,130.2,1,0,0,6,0,0,0,0,0.0,Dropout
53,9254,1,111.8,1,1,0,6,6,0,8,5,11.0,Graduate
1,9085,1,137.1,1,1,0,5,4,0,5,5,12.0,Graduate
1,9773,1,120.7,1,0,0,6,5,0,7,0,0.0,Dropout
18,9238,1,137.4,1,0,0,6,1,0,14,2,11.0,Enrolled
17,9500,1,127.3,1,0,0,7,7,0,8,8,14.545,Graduate
1,9130,1,136.3,1,0,0,5,4,0,8,4,12.25,Graduate
1,9853,1,124.6,1,0,0,7,6,0,8,6,13.5,Enrolled
1,171,1,120.3,1,1,0,0,0,0,0,0,0.0,Graduate
18,9556,1,121.8,1,0,0,7,7,0,9,8,11.425,Enrolled
1,9500,1,125.5,1,0,0,8,7,0,12,7,12.85714286,Graduate
1,9670,1,114.9,1,1,0,6,6,0,7,6,12.28571429,Graduate
